number,barcode,product_name,store_number,store_name,category1,category2,category3,category4,price1,price2,sale_num,ware_house_inventory,jd_inventory,total_inventory
13050500301030 ,6972871850005 ,MORPHE·39色璀璨星眸眼影盘75.7g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,17色以上,174.5,349,0,95,49,144
13030100601003 ,8801046340738 ,AEKYUNG爱纪二十·水润焕颜粉饼（闪耀款） 13号浅肤色 12.5g*2,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,气垫,101,199,0,0,935,935
13010600211 ,4511413514481 ,DHC蝶翠诗·橄榄卸妆油200ml,116,深圳市盟客供应链科技有限公司,TC护肤,卸妆,面部卸妆,卸妆油,99,159,0,1168,685,1853
13010600211 ,4511413514481 ,DHC蝶翠诗·橄榄卸妆油200ml,100,广东快客电子商务有限公司,TC护肤,卸妆,面部卸妆,卸妆油,99,159,0,0,7,7
1303010060012 ,8801046314432 ,AEKYUNG爱纪二十·精华遮瑕粉底21号色 12.5g*2,100,广东快客电子商务有限公司,TC彩妆,底妆,粉底,气垫,97.5,179,0,0,48,48
13010200101001 ,6935778567391 ,CATKIN卡婷·CATKIN X 清平乐礼盒C01,116,深圳市盟客供应链科技有限公司,TC彩妆,彩妆套装,综合礼盒,综合礼盒,90.91,219,0,1,42,43
1302030010074 ,6971113330688 ,Chosungah22潮盛雅22·甜心炫彩染唇膏 哇苹果 3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,71.1,129,0,0,12,12
1302030010339 ,6902395739739 ,Maybelline美宝莲·绝色持久唇膏 丝绒哑光 702 3.9g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,65.4,109,0,0,17,17
1302030010350 ,6902395739807 ,Maybelline美宝莲·绝色持久唇膏 丝绒哑光 807 3.9g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,65.4,109,0,0,21,21
1302030010348 ,6902395740193 ,Maybelline美宝莲·绝色持久唇膏 缎光 006 3.9g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,65.4,109,0,0,23,23
1302030010351 ,6902395740056 ,Maybelline美宝莲·绝色持久唇膏 缎光 510 3.9g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,65.4,109,0,0,6,6
1305050030083 ,6971555165725 ,ZEESEA滋色·花火夜璨十六色眼影盘01 1.2g*15+1.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,9-16色,61.92,129,0,0,7,7
1305050030083 ,6971555165725 ,ZEESEA滋色·花火夜璨十六色眼影盘01 1.2g*15+1.5g,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,9-16色,61.92,129,0,0,50,50
1305050030085 ,6971555166104 ,ZEESEA滋色·花火夜璨十六色眼影盘03 1.2g*9+1.5g*7,100,广东快客电子商务有限公司,TC彩妆,眼影,多色眼影,9-16色,61.92,129,0,0,128,128
1305050030070 ,6926799607135 ,Za姬芮·神采焦点眼影BK98 5g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,61.44,119,0,9,0,9
1305050030069 ,6926799607128 ,Za姬芮·神采焦点眼影RD47 5g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,61.44,119,0,9,0,9
1305050030067 ,6926799607104 ,Za姬芮·神采焦点眼影VI75 5g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼影,多色眼影,2-8色,61.44,119,0,0,128,128
1302040010065 ,8858994475234 ,SIVANNA COLORS思薇娜·幽兰之情唇釉（5支装礼盒）5*5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,唇釉,哑光唇釉,59.5,129,0,3,36,39
1303010070030 ,6971538079483 ,physicians formula斐式配方·元气盈透矿物散粉透亮P10948 12g,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,定妆,散粉,58.05,119,0,0,65,65
2302010030013 ,8429420145047 ,ISDIN怡思丁·维生素元B5多效修复霜50G,116,深圳市盟客供应链科技有限公司,TC护肤,功能护肤,健康护理,万用膏,57.96,69.9,0,0,5,5
1305040020017 ,6926799608071 ,Za姬芮·睛羡恒采眼线液BK999深邃黑 0.5ml,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,眼线,眼线液笔,56.64,109,0,0,79,79
1303010050030 ,8809387474457 ,Pramy柏瑞美·水光隔离霜1# 40ml,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,妆前,隔离霜,56.55,129.9,0,44,70,114
2302010030001 ,8809294556956 ,九朵云·焕彩面霜50g,116,深圳市盟客供应链科技有限公司,TC护肤,面霜/乳液,面霜,日霜,55.84,99,0,0,5,5
1303010060003 ,6958136629081 ,VOV薇欧薇·焕亮星辰水光气垫霜 1号亮肤色14G,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,气垫,55.5,99,0,18,12,30
1303010060004 ,6958136629098 ,VOV薇欧薇·焕亮星辰水光气垫霜 2号象牙色14G,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,气垫,55.5,99,0,54,43,97
1305010020005 ,4903335130182 ,dejavu黛佳碧·美睫浓翘睫毛膏 浓黑色7.2g,100,广东快客电子商务有限公司,TC彩妆,眼部,睫毛,卷翘睫毛膏,53.9,89.9,0,0,16,16
1305010030004 ,4903335130175 ,dejavu黛佳碧·美睫瞬密睫毛膏 漆黑色8g,100,广东快客电子商务有限公司,TC彩妆,眼部,睫毛,浓密睫毛膏,53.9,89.9,0,0,9,9
1305010060004 ,4903335110511 ,dejavu黛佳碧·菲贝薇美睫长翘睫毛膏 碳黑色7.2g,100,广东快客电子商务有限公司,TC彩妆,眼部,睫毛,纤长睫毛膏,53.9,89.9,0,0,6,6
1303020020064 ,6902395701552 ,MAYBELLINE美宝莲·定制腮红35 4.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,局部,腮红,腮红粉,53.4,89,0,0,98,98
1303010080027 ,6972238110001 ,CAREMILLE珂曼·未来水凝啫喱粉底霜粉调亮白色 13g,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,气垫,52,119,0,19,25,44
1303010080026 ,6972238110018 ,CAREMILLE珂曼·未来水凝啫喱粉底霜黄调自然色 13g,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,气垫,52,119,0,81,15,96
13030200301001 ,4901008307725 ,CANMAKE肯美·花漾瑰丽造影粉01 6.3g,100,广东快客电子商务有限公司,TC彩妆,局部,高光,高光粉,51.94,95.9,0,0,96,96
13030200301001 ,4901008307725 ,CANMAKE肯美·花漾瑰丽造影粉01 6.3g,116,深圳市盟客供应链科技有限公司,TC彩妆,局部,高光,高光粉,51.94,95.9,0,173,0,173
1302030010097 ,6926799621698 ,Za姬芮·恒彩娇艳唇膏RD330 3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,51.84,99,0,35,0,35
1302030010096 ,6926799621681 ,Za姬芮·恒彩娇艳唇膏RD365 3.5g,116,深圳市盟客供应链科技有限公司,TC彩妆,唇部,口红,哑光口红,51.84,99,0,31,0,31
1305040010017 ,6926799608057 ,Za姬芮·柔芯防水眼线笔BK999深邃黑 0.13g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,眼线,眼线胶笔,51.84,99,0,0,69,69
1305010030006 ,6926799607142 ,Za姬芮·炫长绝密睫毛膏小黑媚 9g,116,深圳市盟客供应链科技有限公司,TC彩妆,眼部,睫毛,浓密睫毛膏,51.84,99,0,255,0,255
1303010040062 ,6971113330022 ,Chosungah22潮盛雅22·多效保湿精华粉凝露 1号 亮米色,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,粉底液,50,99,0,0,206,206
1303010040063 ,6971113330039 ,Chosungah22潮盛雅22·多效保湿精华粉凝露 2号 自然色,116,深圳市盟客供应链科技有限公司,TC彩妆,底妆,粉底,粉底液,50,99,0,0,221,221
